11,71
113,97
739,509
883,2069
7873,6079
1000000007,1000000009
790383132652258876190399065097,662503581792812531719955475509
656917682542437675078478868539,1263581691331332127259083713503
43143988327398957279342419750374600193,523347633027360537213687137
393050634124102232869567034555427371542904833,8683317618811886495518194401279999999
263130836933693530167218012159999999,3546245297457217493590449191748546458005595187661976371
53794859598453765685689579374837489535768975984671,92576575752374237238523742614624627617917562731293
14693679385278593849609206715278070972733319459651094018859396328480215743184089660644531,85053461164796801949539541639542805770666392330682673302530819774105141531698707146930307290253537320447270457
7357547567426715762796257957625897597596726745757961278147127621796726742117451276286715945675197603,4268546751795279174817597576127271241571564107341495162629159421671761975197586286298298268261272193
379579759757917519712716571278197218721971987297817529872972759137437928239872502972781927027182078921791280571907187209177901709870117901790781794043,927624769157917316715791428174185204124905963879720975970598751975905875096054950947045971587507509705705795079415490561054251791279127912092900297949
10730167476108152761270957917937457915070572074715773592175072371982070729781249084219482149082405420954205713950725792972178502954921573707529752954252795279643795892058781243061752795791671729573557,51726127461729029705761376402495217941279502479150295024512415074920597450492045929429542490249024905429752709572079024502495024952490740259271572653525928598292798084799782078297821792157020292280809
8270972079502491279207941977275027951279027902790271672572175917257179157029750297027521127157371761672832862024952417909100171752157286398268929672975188405097579046975975087277909590575792579055750795279057926794579471597059750795795954915491580653,6907592179187015712187582418717981987211871479801797087521897218279419781257918727971820732879719101509787220172769731713823895794275124905245420942495250290405490520942049540294042094214277932965967965927325758185781585785875178587851784200284215197
127391241032653789644127409322918369540914784728549864721960845334399784822034273590829001690190344975458867289644042448465252769894613380938597612207848062731033065128068740089567674444708519421961628214954564318200516820258231037851113293107913355849976777210116142917303736776264309180247150030897,6585237586896990384199004559814076657712576901818389655960769819971014872275128766440690858192889386652170357436017698467522142084240598910159506233244881428317004343192591011842631252394459172034193089981892120483604991689182101911964614980196835163
762761276127912795027027420759005720972075902792721791742082492075027973417617950249525044952092495024504204294509042945204920450245027495172957209517813460130480459454295492452124912490502549240420424409942494095098629565926491249941592194251942159425912915929259127519819015924009404924092840910299,417500745792152723074907157902575079340397986896794167955852512542742212121111718757955685979276796795975798171926972189789258197521978179521795830579029750950297209000782985795795189715981579157912981729879058275082975292192187950595079875917475646294697569869558151426672145482577554578287281248533
784004367572495774194393070471036243081059224915790618109759924673813188338809082153740642203146977169489582592901611907567109167626507837960464358278287637731100993104082515622854696708391125165818965178655799420213163104998267610201631762304763371812508910663511751041518477229194460699287022070559,597364437295872438767788994255029930358296130474641526763643549090270607307833999889858212257289753170978169184637681749684527220243040692383387584650309818974189167173600391880495079937734485532661244457113423051980511910933448309906383595215522911524189219484797389814414099461086017598230526757897
178542003245811211274167228297361192303886321036074276889145691522634525820185614278499562592134188995169731066418203258297035264969457638591284906658912408319763156912951486020761069099132619194489006875108217247513715271974383296142805846405783845170862140174184507256128825312324419293575432423822703857091,951946701514542492259587025030416477937195413827949310361645813007708082613619587304584960695630834178858341999380023219256818628601337084694749213220310418744068581661915785294598862885244518207565228509850966210355722327055444936875788424629462495812596625069256193595840516210998714155597097039809
18298970732541109011012304219376080251334480295537316123696052970419466495220522723330315111017831737980079504337868198011077274303193766040393009648852841770668239779097280026631944319501437547002412556176186750790476901358334138818777298389724049250700606462316428106882097210008142941838672676714188593227684360287806974345181893018133710957167334490627178666071809992955566020058374505477745993383434501768887090900283569055646901291270870833498474402084748161755197005050874785474707550376333429671113753137201128897550014524209754619355308207537703754006699795711188492048286436285518105948050401762394690148387,1000000007
75895170224042954209054024531796915702827912082790870728917208279208027981717437911398289328392782912791721912878921782792879772317689685975693166436141525728754769764976971613425828718441574796794631621452524040946769746795478745874794962965985658936436284851815877120160361020512501275574794692677954954787585611246124518715784577929414154915424879,91575791677851972518795827958725872907890978797820798027942794716968565895631643164125477548754874580603160610697658150212429150213767945804217181578257294619167528528502274638652788727821784278128127128116060613061021875457487848757851021201520520512051215205120749764967976568653512424512451425142145965969694754875485215421541241336031031606131749
4578599720975490721457902422907275952970594709479658659869769585875487547847854875478752658653862385975195159759579679179175794587548754874572987952785179827981597275172591721892719281712712712792157292182712717127218271794194164794679268236160512501248745785714916759762545454927957479754974597547974579457954795795916061901601367316431254215421421547878878585871587958963163463145012087548854784729,2517928709724120791712017017754287157821717929728197289712971973970764194619467946362502502542455187578578149691010645428751480585274849194971545875851519691069069061906976794841872113797582789549271945145221792079070275117791375315317915375173157951795791054772414479464382418457519424260515025850591795179529729160616413752818718210971961000218718781579279267913772973293723971581758451527197793553
941836729992464834905748148273770982203551043530439504513778414029434098353987387077123237226864429156686017255797987101453380345523862008490839239883775792382668867798101865376400232163725641961989631089914228631087596568733969205056685737523561672925520351839785438186066703438782538360204652407843928323687286839475919133233866804453786314040779758927115568179105376871237999203724789098147981127004052486205891281151617828803146343296473033346853,232910255718727574821806602016904545999551134444316198409651513235378601471909612215551993789225332210316627844204782941625540623644759543099842760180956363787847599788863040728041955427546951407938750838115298064341370395414623987255015968736307211823017918754761312887583396441172450070041215481346680602791923539281340691740500880383343347272683443336071966973234124864130420699745458826658269262319100227676149636562588645595674876303142881722557
53488987349254720173824434622218159597570583843407346381949080862047003178124681822540132294097923332977121728916380405475101740205863100898489698280823152786560847462554646335642318092019867634113112858892756481423820339476651684903862622607582794126544577598457520616604142615358133429486819606819240139912974225753110318362274211277476963854625166474862271044020326204857199838053513638161095638284641060230501950221950733397467688309943804838716058063644209910670612758323738229258011867950416699,59686186236745218216345928999401230011554580288983634967050067325381275745359203653235833264145089204384839857933245917493032423514592803278905036035596846550761245945260199799102112301336627980890200884785670599182388755948425347788574668471703280840425249121393015519492726158226383133724957696161827990965746682015258003422135542281072318301729987467969089693371365063243246524269336568534755452020008428539672571401468881724912339910258002262923301501297243452751830785945523293535047206459487539
8090089636724458463409438333845864178356969704653601535167150308795317893290491417579372728185399230197441583342855311290341343616912404340793830247459021663032001008777267079779859405001758219048353976198430696117503530074662951264581590952683620066466200794622785159823269401562735707763307055929670929337262838610069960288818104547135450204062741837117651347838231493218132139852842773819830414555666280294362255316020840764290430876850177022007775166910150566237839476307095934568491262234688895555855425164558717967351310004937624929526170998117,1082993961110908191834013020937742913253055816297745433899069427049631466791829350715220463335326978071852385784393875461842014433864164132016685640547487052148805428843855079805057209929105337798133921573359979987607606203854358419703435891200293065070332107971601923751921172628939000795631474330012957924042704998692801620156846410859216446502304911026899753957057441558153535648762248405471540981583600122208966560159812045385986775770612390434988350294994182896100894678995729164549851806510201553824785823922359828689873532927815634928210125941
150235132031229187029500985590656655012318456623738678007959246200897969551111316189461611272356454168914403713203482605147060660898632828573546824057869982709474875302764069357064103731843085503157817311031281461493037693881431651167571871306587140717448698434199521316799992838324269509536971927034060128743158303797077021787578377662763430623697938567489388124226424102108753538937959327011362569747288940476984869109365384238819487504001180082097281918566210404796195614978886059912207021538486382058210870273210882622147147631839929859132474526662833794351729396725960271574468426485176915626007,732701238735421048872721805329783805027635989852752434499665018836071433389753583252508162831723995885728357661284451299104644042583052314153552214140798884066863023973674680999136256732265119270828258156551219740735668030389753781379734974644465098556369132575368518223059190614436306522128910367006422326998474035953655727679674321254034188336541428739752682683072012033811188587093754504056447741669531227425730478536072768597361886490490651909590515989512950273959704132818249104789429159152974173923474465846114169205768973191992891031234565626476481300761550840504055421389163737061356001799439
18298970732541109011012304219376080251334480295537316123696052970419466495220522723330315111017831737980079504337868198011077274303193766040393009648852841770668239779097280026631944319501437547002412556176186750790476901358334138818777298389724049250700606462316428106882097210008142941838672676714188593227684360287806974345181893018133710957167334490627178666071809992955566020058374505477745993383434501768887090900283569055646901291270870833498474402084748161755197005050874785474707550376333429671113753137201128897550014524209754619355308207537703754006699795711188492048286436285518105948050401762394690148801,68298970732541109011012304219376080251334480295537316123696052970419466495220522723330315111017831737980079504337868198011077274303193766040393009648852841770668239779097280026631944319501437547002412556176186750790476901358334138818777298389724049250700606462316428106882097210008142941838672676714188593227684360287806974345181893018133710957167334490627178666071809992955566020058374505477745993383434501768887090900283569055646901291270870833498474402084748161755197005050874785474707550376333429671113753137201128897550014524209754619355308207537703754006699795711188492048286436285518105948050401762394690149813
71531173618017950950069500556937391372211335477520201276185467579100191936464203321741091070795211229380034742975182894680658011274134180386117539571226969548318421833895125927620357571201230302094930288840793274690448542967684992578066458851713569270385808597548221233574759491476807145465549931569515563104295653741509744655381873372105872176751888716918335101830226635842934529230466098815555164864067880774361625278375408798004490225907720089485598221330478768604316192802590535801145682285247814652889661109846107667208161762386908981242666544231509112762097418643034589149812951346396878861265379910070579866592860064708896685497867657963022299,86229961012878793982577870709477922998038057044372511105389496307019247796707575913005854405213464500861797024992539560683919677759698569442757767511223973890933915777350403133619914637436529180060324906080028697793978716798223229551559656963065846908712940364689090335126797604185996587858564943950622886860004780636184614848126226235723285154450302296955625430770552911623698836202810373448252085934152432511089024630825283721923852343995678085381195329532116898505855902965522903919590739862809894533309312058558500728544244423196517090762248257226304457214800141555457026818116538172409887398442330519631637037446566720857214890265228765555804207
